Open,High,Low,Close
161.74002657480787,162.99036558320444,158.16601613302157,161.77763654403932
160.89853588555064,163.37930869604799,160.71985413789568,162.10206626205937
162.7015746473157,167.39621549306435,160.48433586756718,164.72985900257413
164.16959919381142,170.2738798725227,162.42667372165505,169.12576347107233
168.9550884403277,172.87572719786337,164.56432953501906,165.42702534098024
162.012006374197,168.6421494172586,160.03550987744896,160.8201953542402
160.96284667573497,164.51746691831306,157.3119510090221,158.9295414665904
158.93569093742576,168.46627084514762,157.39853308778083,162.0693893606527
162.8924784483196,173.297954475751,160.622568701396,170.85543260728383
170.39678418725242,172.4212102377574,168.40712048031364,170.599686039237
170.43778131189066,173.7106547743069,169.22811914814423,171.82423698191454
171.35537619660002,178.19590083451988,170.5540058788676,173.66601048624094
